# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.create.module.instance.ms,1708438423315000000,1708438483315000000,0
workspaceModel.global.updates.count,1708438423315000000,1708438483315000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1708438423315000000,1708438483315000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1708438423315000000,1708438483315000000,3
jps.library.entities.serializer.save.entities.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1708438423315000000,1708438483315000000,0
jps.modifiable.module.model.bridge.new.module.ms,1708438423315000000,1708438483315000000,0
jps.artifact.entities.serializer.load.entities.ms,1708438423315000000,1708438483315000000,0
jps.modifiable.module.model.bridge.load.module.ms,1708438423315000000,1708438483315000000,0
jps.save.changed.project.entities.ms,1708438423315000000,1708438483315000000,0
jps.project.serializers.save.ms,1708438423315000000,1708438483315000000,0
jps.modifiable.module.model.bridge.renaming.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1708438423315000000,1708438483315000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1708438423315000000,1708438483315000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1708438423315000000,1708438483315000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1708438423315000000,1708438483315000000,0
jps.facet.change.listener.init.bridge.ms,1708438423315000000,1708438483315000000,1
workspaceModel.global.updates.ms,1708438423315000000,1708438483315000000,0
jps.global.handle.before.change.events.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1708438423315000000,1708438483315000000,2
workspaceModel.load.cache.from.file.ms,1708438423315000000,1708438483315000000,0
FlushQueue.tasksExecuted,1708438423315000000,1708438483315000000,60
WriteAction.executionsCount,1708438423315000000,1708438483315000000,0
AWTEventQueue.dispatchTimeTotalNS,1708438423315000000,1708438483315000000,224442018
FlushQueue.queueSizeMax,1708438423315000000,1708438483315000000,0
AWTEventQueue.dispatchTime90PNs,1708438423315000000,1708438483315000000,614399
AWTEventQueue.dispatchTimeMaxNs,1708438423315000000,1708438483315000000,925695
NonBlockingReadAction.failedExecutionTimeUs,1708438423315000000,1708438483315000000,0
FlushQueue.executionTimeMaxNs,1708438423315000000,1708438483315000000,92671
FlushQueue.executionTime90PNs,1708438423315000000,1708438483315000000,68607
AWTEventQueue.dispatchTimeAvgNs,1708438423315000000,1708438483315000000,256495.46971428572
FlushQueue.waitingTimeAvgNs,1708438423315000000,1708438483315000000,251848.53333333333
FlushQueue.queueSize90P,1708438423315000000,1708438483315000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1708438423315000000,1708438483315000000,0
FlushQueue.waitingTimeMaxNs,1708438423315000000,1708438483315000000,382975
AWTEventQueue.eventsDispatched,1708438423315000000,1708438483315000000,875
FlushQueue.queueSizeAvg,1708438423315000000,1708438483315000000,0.0
FlushQueue.executionTimeAvgNs,1708438423315000000,1708438483315000000,49607.46666666667
FlushQueue.waitingTime90PNs,1708438423315000000,1708438483315000000,321535
NonBlockingReadAction.failedExecutionsCount,1708438423315000000,1708438483315000000,0
ReadAction.executionsCount,1708438423315000000,1708438483315000000,0
NonBlockingReadAction.finalizedExecutionsCount,1708438423315000000,1708438483315000000,0
StreamlinedBlobStorage.recordsRelocated,1708438423315000000,1708438483315000000,0
FilePageCache.maxCacheSizeInBytes,1708438423315000000,1708438483315000000,202391552
FilePageCacheLockFree.totalPagesRequestsMs,1708438423315000000,1708438483315000000,0
FilePageCache.uncachedFileAccess,1708438423315000000,1708438483315000000,0
StorageLockContext.competingThreads.90P,1708438423315000000,1708438483315000000,0
StreamlinedBlobStorage.recordsDeleted,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1708438423315000000,1708438483315000000,33
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1708438423315000000,1708438483315000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1708438423315000000,1708438483315000000,0
MappedFileStorage.totalBytesMapped,1708438423315000000,1708438483315000000,98566144
StreamlinedBlobStorage.recordsAllocated,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.nativeBytesInUse,1708438423315000000,1708438483315000000,16384
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1708438423315000000,1708438483315000000,0
DirectByteBufferAllocator.hits,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalBytesRequested,1708438423315000000,1708438483315000000,0
FilePageCache.totalPageLoadsUs,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalBytesRead,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalPagesReadMs,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalPagesAllocated,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.heapBytesInUse,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1708438423315000000,1708438483315000000,0
DirectByteBufferAllocator.disposed,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1708438423315000000,1708438483315000000,0
FilePageCache.pageLoads,1708438423315000000,1708438483315000000,0
StorageLockContext.competingThreads.avg,1708438423315000000,1708438483315000000,0.0
MappedFileStorage.storages,1708438423315000000,1708438483315000000,6
FilePageCache.disposedBuffers,1708438423315000000,1708438483315000000,0
FilePageCache.pageHits,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1708438423315000000,1708438483315000000,0
FilePageCache.capacityInBytes,1708438423315000000,1708438483315000000,503316478
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1708438423315000000,1708438483315000000,53643
FilePageCacheLockFree.totalPagesWritten,1708438423315000000,1708438483315000000,0
FilePageCache.totalPageDisposalsUs,1708438423315000000,1708438483315000000,0
FilePageCache.maxRegisteredFiles,1708438423315000000,1708438483315000000,534
FilePageCacheLockFree.totalNativeBytesAllocated,1708438423315000000,1708438483315000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1708438423315000000,1708438483315000000,202407936
FilePageCacheLockFree.totalBytesWritten,1708438423315000000,1708438483315000000,0
MappedFileStorage.totalPagesMapped,1708438423315000000,1708438483315000000,6
FilePageCacheLockFree.totalPagesRequested,1708438423315000000,1708438483315000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1708438423315000000,1708438483315000000,0
DirectByteBufferAllocator.reclaimed,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1708438423315000000,1708438483315000000,120
FilePageCacheLockFree.totalNativeBytesReclaimed,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalPagesHandedOver,1708438423315000000,1708438483315000000,0
FilePageCache.pageFastCacheHits,1708438423315000000,1708438483315000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1708438423315000000,1708438483315000000,1009
StorageLockContext.competingThreads.max,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalPagesReclaimed,1708438423315000000,1708438483315000000,0
DirectByteBufferAllocator.misses,1708438423315000000,1708438483315000000,0
FilePageCacheLockFree.totalPagesWriteMs,1708438423315000000,1708438483315000000,0
workspaceModel.updates.precise.ms,1708438423315000000,1708438483315000000,0
workspaceModel.collect.changes.ms,1708438423315000000,1708438483315000000,0
workspaceModel.pre.handlers.ms,1708438423315000000,1708438483315000000,1
workspaceModel.update.unloaded.entities.ms,1708438423315000000,1708438483315000000,0
workspaceModel.updates.ms,1708438423315000000,1708438483315000000,71
workspaceModel.initializing.ms,1708438423315000000,1708438483315000000,1
workspaceModel.loading.total.ms,1708438423315000000,1708438483315000000,36
workspaceModel.check.recursive.update.ms,1708438423315000000,1708438483315000000,0
workspaceModel.updates.count,1708438423315000000,1708438483315000000,1
workspaceModel.replace.project.model.ms,1708438423315000000,1708438483315000000,0
workspaceModel.to.snapshot.ms,1708438423315000000,1708438483315000000,0
workspaceModel.init.bridges.ms,1708438423315000000,1708438483315000000,1
workspaceModel.loading.from.cache.ms,1708438423315000000,1708438483315000000,27
FileNameCache.queries,1708438423315000000,1708438483315000000,0
FileNameCache.totalMisses,1708438423315000000,1708438483315000000,0
IndexesFlusher.totalFlushingTimeUs,1708438483315000000,1708438543316000000,114218
IndexesFlusher.totalFlushesRetried,1708438483315000000,1708438543316000000,0
IndexesFlusher.totalFlushes,1708438483315000000,1708438543316000000,60
IndexesFlusher.totalContentionQuotaSpent,1708438483315000000,1708438543316000000,0
jps.library.entities.serializer.load.entities.ms,1708438483315000000,1708438543316000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1708438483315000000,1708438543316000000,161
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1708438483315000000,1708438543316000000,1
jps.modifiable.module.model.bridge.disposing.ms,1708438483315000000,1708438543316000000,0
workspaceModel.orphan.listener.update.ms,1708438483315000000,1708438543316000000,2
jps.artifact.entities.serializer.save.entities.ms,1708438483315000000,1708438543316000000,0
workspaceModel.sync.entities.ms,1708438483315000000,1708438543316000000,0
workspaceModel.global.apply.state.to.project.ms,1708438483315000000,1708438543316000000,0
jps.storage.jps.conf.reader.load.component.ms,1708438483315000000,1708438543316000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1708438483315000000,1708438543316000000,0
jps.global.handle.changed.events.ms,1708438483315000000,1708438543316000000,0
jps.load.initial.state.ms,1708438483315000000,1708438543316000000,6
workspaceModel.mutableEntityStorage.entities.by.source.ms,1708438483315000000,1708438543316000000,0
jps.global.get.library.by.name.ms,1708438483315000000,1708438543316000000,0
jps.facet.change.listener.before.change.events.ms,1708438483315000000,1708438543316000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1708438483315000000,1708438543316000000,2
workspaceModel.load.cache.metadata.from.file.ms,1708438483315000000,1708438543316000000,0
workspaceModel.save.cache.to.file.ms,1708438483315000000,1708438543316000000,43
workspaceModel.mutableEntityStorage.add.diff.ms,1708438483315000000,1708438543316000000,3
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1708438483315000000,1708438543316000000,0
jps.global.initialize.library.bridges.ms,1708438483315000000,1708438543316000000,0
jps.load.project.to.empty.storage.ms,1708438483315000000,1708438543316000000,53
jps.reload.project.entities.ms,1708438483315000000,1708438543316000000,0
jps.app.storage.content.reader.load.component.ms,1708438483315000000,1708438543316000000,0
jps.save.global.entities.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1708438483315000000,1708438543316000000,0
jps.project.serializers.load.ms,1708438483315000000,1708438543316000000,3
workspaceModel.mutableEntityStorage.resolve.ms,1708438483315000000,1708438543316000000,0
jps.apply.loaded.storage.ms,1708438483315000000,1708438543316000000,76
workspaceModel.mutableEntityStorage.to.snapshot.ms,1708438483315000000,1708438543316000000,0
jps.global.initialize.library.bridges.after.loading.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.entities.ms,1708438483315000000,1708438543316000000,2
jps.facet.change.listener.process.change.events.ms,1708438483315000000,1708438543316000000,0
jps.global.get.libraries.ms,1708438483315000000,1708438543316000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1708438483315000000,1708438543316000000,0
jps.global.get.library.ms,1708438483315000000,1708438543316000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1708438483315000000,1708438543316000000,0
workspaceModel.global.updates.count,1708438483315000000,1708438543316000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1708438483315000000,1708438543316000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1708438483315000000,1708438543316000000,3
jps.library.entities.serializer.save.entities.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1708438483315000000,1708438543316000000,0
jps.modifiable.module.model.bridge.new.module.ms,1708438483315000000,1708438543316000000,0
jps.artifact.entities.serializer.load.entities.ms,1708438483315000000,1708438543316000000,0
jps.modifiable.module.model.bridge.load.module.ms,1708438483315000000,1708438543316000000,0
jps.save.changed.project.entities.ms,1708438483315000000,1708438543316000000,0
jps.project.serializers.save.ms,1708438483315000000,1708438543316000000,0
jps.modifiable.module.model.bridge.renaming.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1708438483315000000,1708438543316000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1708438483315000000,1708438543316000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1708438483315000000,1708438543316000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1708438483315000000,1708438543316000000,0
jps.facet.change.listener.init.bridge.ms,1708438483315000000,1708438543316000000,1
workspaceModel.global.updates.ms,1708438483315000000,1708438543316000000,0
jps.global.handle.before.change.events.ms,1708438483315000000,1708438543316000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1708438483315000000,1708438543316000000,2
workspaceModel.load.cache.from.file.ms,1708438483315000000,1708438543316000000,0
FlushQueue.tasksExecuted,1708438483315000000,1708438543316000000,71
WriteAction.executionsCount,1708438483315000000,1708438543316000000,0
AWTEventQueue.dispatchTimeTotalNS,1708438483315000000,1708438543316000000,395596854
FlushQueue.queueSizeMax,1708438483315000000,1708438543316000000,0
AWTEventQueue.dispatchTime90PNs,1708438483315000000,1708438543316000000,626687
AWTEventQueue.dispatchTimeMaxNs,1708438483315000000,1708438543316000000,119013375
NonBlockingReadAction.failedExecutionTimeUs,1708438483315000000,1708438543316000000,0
FlushQueue.executionTimeMaxNs,1708438483315000000,1708438543316000000,544767
FlushQueue.executionTime90PNs,1708438483315000000,1708438543316000000,460799
AWTEventQueue.dispatchTimeAvgNs,1708438483315000000,1708438543316000000,652969.9273927392
FlushQueue.waitingTimeAvgNs,1708438483315000000,1708438543316000000,253952.0
FlushQueue.queueSize90P,1708438483315000000,1708438543316000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1708438483315000000,1708438543316000000,0
FlushQueue.waitingTimeMaxNs,1708438483315000000,1708438543316000000,544767
AWTEventQueue.eventsDispatched,1708438483315000000,1708438543316000000,606
FlushQueue.queueSizeAvg,1708438483315000000,1708438543316000000,0.0
FlushQueue.executionTimeAvgNs,1708438483315000000,1708438543316000000,122541.07042253521
FlushQueue.waitingTime90PNs,1708438483315000000,1708438543316000000,303103
NonBlockingReadAction.failedExecutionsCount,1708438483315000000,1708438543316000000,0
ReadAction.executionsCount,1708438483315000000,1708438543316000000,1
NonBlockingReadAction.finalizedExecutionsCount,1708438483315000000,1708438543316000000,0
